Paper Title,Review Text,Review Type,Abstract
"Impact of nitrogen fertilizer type and application rate on growth, nitrate accumulation, and postharvest quality of spinach","I reviewed the paper titled ""Impact of Nitrogen Source and Application Rate on Growth, Nitrate Accumulation, and Postharvest Quality of Spinach"". The study effectively investigates the key aspects of the research on nitrogen source and application for spinach cultivation.
-Comments and Suggestions for Authors
Abstract
- The abstract is well-written and informative.
- Consider mentioning the specific storage duration investigated in the study (e.g., 10 days) to provide better context for the nitrate content results
- Line 22: Consider replacing ""better"" with ""improved"" for a more formal tone.
- Line 30: ""SPAD values"" could be defined in parentheses for readers unfamiliar with the term (e.g., SPAD values (…..)).
Introduction
- Strengthen the connection between yield and nitrate: While you mention Vico et al. (2020) finding similar yields with organic amendments and conventional practices despite higher nitrate in organically fertilized spinach, you could delve deeper into the potential trade-offs between yield and nitrate content.
- Consider mentioning limitations of existing research: Briefly acknowledge the limited research on slow-release fertilizers' impact on nitrate accumulation in leafy vegetables.
Materials and methods
- This section provides a comprehensive overview of the experimental methods used. It allows readers to understand how the experiment was conducted and evaluate the validity of the results.
- Line 185: remove ""Methods""
Results
- The study only investigated a single spinach cultivar. Results may not be applicable to other varieties.
- The study examined nitrate content during storage, but it's not clear if the storage conditions typically encountered by consumers were mimicked.",Authentic,"Background: A balanced supply of nitrogen is essential for spinach, supporting both optimal growth and appropriate nitrate (NO3 -) levels for improved storage quality. Thus, choosing the correct nitrogen fertilizer type and application rate is key for successful spinach cultivation. This study investigated the effects of different nitrogen (N) fertilizer type and application rates on the growth, nitrate content, and storage quality of spinach plants.

Methods: Four fertilizer types were applied at five N doses (25, 50, 200, and 400 mg N kg-1) to plants grown in plastic pots at a greenhouse. The fertilizer types used in the experiment were ammonium sulphate (AS), slow-release ammonium sulphate (SRAS), calcium nitrate (CN), and yeast residue (YR). Spinach parameters like Soil Plant Analysis Development (SPAD) values (chlorophyll content), plant height, and fresh weight were measured. Nitrate content in leaves was analyzed after storage periods simulating post-harvest handling (0, 5, and 10 days).

Results: The application of nitrogen fertilizer significantly influenced spinach growth parameters and nitrate content. The YRx400 treatment yielded the largest leaves (10.3 ± 0.5 cm long, 5.3 ± 0.2 cm wide). SPAD values increased with higher N doses for AS, SRAS, and CN fertilizers, with AS×400 (58.1 ± 0.8) and SRAS×400 (62.0 ± 5.8) reaching the highest values. YR treatments showed a moderate SPAD increase. Fresh weight response depended on fertilizer type, N dose, and storage period. While fresh weight increased in all fertilizers till 200 mg kg-1 dose, a decrease was observed at the highest dose for AS and CN. SRAS exhibited a more gradual increase in fresh weight with increasing nitrogen dose, without the negative impact seen at the highest dose in AS and CN. Nitrate content in spinach leaves varied by fertilizer type, dose, and storage day. CNx400 resulted in the highest NO3 - content (4,395 mg kg-1) at harvest (Day 0), exceeding the European Union's safety limit. This level decreased over 10 days of storage but remained above the limit for CN on Days 0 and 5. SRAS and YR fertilizers generally had lower NO3 - concentrations throughout the experiment. Storage at +4 °C significantly affected NO3 - content. While levels remained relatively stable during the first 5 days, a substantial decrease was observed by Day 10 for all fertilizers and doses, providing insights into the spinach's nitrate content over a 10-day storage period.

Conclusion: For rapid early growth and potentially higher yields, AS may be suitable at moderate doses (200 mg kg-1). SRAS offers a more balanced approach, promoting sustained growth while potentially reducing NO3 - accumulation compared to AS. Yeast residue, with its slow nitrogen release and consistently low NO3 - levels, could be a viable option for organic spinach production."
Estimation of environment stability for fruit yield and capsaicin content by using two models in Capsicum chinense Jacq. (Ghost Pepper) with multi-year evaluation,"The review article entitled, ""Estimation of environment stability for fruit yield and capsaicin content by using two models in Capsicum chinense Jacq. (Ghost Pepper) with multi-year evaluation (#96473) combines knowledge and application of the methodology. Readers of the journal and other researchers working on the topic internationally may find this publication useful. However, some information is missing. Given the following considerations, I believe that this work should be published, following minor changes:
1. Describe more about Figures 3 and 4 in the discussion.
2. The conclusion is very short. Revise to include the more important findings.
3. Stick to the journal's reference format for reference.
4. The references list's formatting contains several formatting problems. Here, journal titles are published in full for some and abbreviated. Please revise as per Journal style guide.
5. For specific references, there exist DOIs. Include all potential DOI numbers in the reference list, along with more recent references.
6. In addition to the previously given comments, authors are requested to proofread the entire text again to make sure that the amended version is free of any common grammatical problems.",Authentic,"Background: Capsicum chinense Jacq. (Ghost Pepper) is well-known for its high pungency and pleasant aroma. The recent years witnessed a significant decline in popularity of this important crop due to the use of inferior planting material and lack of elite lines. To maintain constant performance across a variety of settings, it is crucial to choose stable lines with high yield and capsaicin content, as these are the most promising traits of Ghost Pepper.

Method: In this study, 120 high-capsaicin genotypes were subjected to a 3-year (kharif 2017, 2018 and 2019) stability investigation utilizing two well-known stability methods: Eberhart-Russell (ER) and additive main effects and multiple interaction (AMMI). Three replications were used following Randomized Complete Block Design for 11 traits. The experiment soil was sandy loam with pH 4.9. Minimum and maximum temperature of 18.5 °C, 17.5 °C, 17.4 °C and 32.2 °C, 31.3 °C, 32.7 °C and rainfall of 1,781, 2,099, 1,972 mm respectively was recorded for the study period.

Result: The genotype-environment linear interaction (G×E Lin.) was highly significant for days to 50% flowering, capsaicin content, fruit length and girth, fruit yield per plant and number of fruits per plant at p < 0.005. G×E interaction for fruit yield and capsaicin content in AMMI-analysis of variance reported 67.07% and 71.51% contribution by IPCA-1 (interactive principal component axis) and 32.76% and 28.49% by IPCA-2, respectively. Eight genotypes were identified to be stable with high yield and capsaicin content. The identified stable lines can be opted for cultivation to reduce the impact of crop failure when grown in different macro-environments. Moreover, the pharmaceutical and spice sectors will also be benefitted from the lines with high capsaicin content. Further research assessing the lines' performance across various regions of India can provide a solid foundation for the crop's evaluation at national level."
Endophytic actinomycetes promote growth and fruits quality of tomato (Solanum lycopersicum): an approach for sustainable tomato production,"The article is dealt with the effect of endophytic actionmycetes in enhancing the tomato growth and fruit quality. In the current scenario, the development of microbial bio-agents is gaining importance specifically for the sustainable management of soil and plant health. Though, several studies has been reported for Bacillus and derived genera, the exploration of actinomycetes is still in the nascent stage. In this context, the reported study adds scientific knowledge on the subject.

The following are the point-wise comments to the authors to address.
1.In the introduction section, the authors have mentioned that the excessive use of chemicals lead to decline in the soil and plant performance and the plant growth promoting microorganisms is helpful to reduce the use of chemicals in tomato cultivation(line no. 58-60). However, the same is missing in the hypothesis statement.
2.There are grammatical mistakes in the manuscript, for example, line no. 119. and Line no. 277. Reorganize the sentences. Check the grammar and sentences throught the manuscript.
3.The uniform unit of measurement should be given. For example line no. 141 and 142, weight is given in different forms (grams/g).

1.The experimental design fails to address the partial replacement of chemicals with plant growth promoting actinomycetes.The nutrients supplementation to the crop plants are given evenly for both inoculated and un-inoculated plants. The authors itself mentioned that the actinomycetes isolates used in the study have growth and nutrient supplementation properties (line no. 112-113). And, the major purpose of the study is to find an alternative to chemicals in tomato cultivation and the same is not emphasized in this study.
2.Line no. 106- detail the control
3.:Line no. 111- whether the isolates were procured isolated in this study?. If isolated, the details of isolation and screening should be given.",Authentic,"Background: Tomato, a fruit with a high vitamin content, is popular for consumption and economically important in Thailand. However, in the past year, the extensive usage of chemicals has significantly decreased tomato yields. Plant Growth-Promoting Rhizobacteria (PGPR) is an alternative that can help improve tomato production system growth and yield quality while using fewer chemicals. The present study aimed to determine whether endophytic actinomycetes promote growth and fruit quality of tomato (Solanum lycopersicum).

Methods: The experiment was conducted in a net-houses at the Center for Agricultural Resource System Research, Faculty of Agriculture, Chiang Mai University, Chiang Mai province, Thailand. The randomized completely block design (RCBD) was carried out for four treatments with three replications, which was control, inoculation with TGsR-03-04, TGsL-02-05 and TGsR-03-04 with TGsL-02-05 in tomato plant. Isolated Actinomycetes spp. of each treatment was then inoculated into the root zone of tomato seedlings and analyzed by Scanning Electron Microscopy (SEM). The height of tomato plants was measured at 14, 28, 56, and 112 days after transplanting. Final yield and yield quality of tomato was assessed at the maturity phase.

Results: The SEM result illustrated that the roots of tomato seedlings from all treatments were colonized by endophytic actinomycetes species. This contributed to a significant increase in plant height at 14 days after transplanting (DAT), as found in the TGsR-03-04 treatment (19.40 cm) compared to the control. Besides, all inoculated treatments enhanced tomato yield and yield quality. The highest weight per fruit (47.38 g), fruit length (52.37 mm), vitamin C content (23.30 mg 100 g-1), and lycopene content (145.92 µg g-1) were obtained by inoculation with TGsR-03-04. Moreover, the highest yield (1.47 kg plant-1) was obtained by inoculation with TGsL-02-05. There was no statistically significant difference in the number of fruits per plant, fruit width, brix, and antioxidant activity when various inoculations of endophytic actinomycetes were applied. Therefore, the use of endophytic actinomycetes in tomato cultivation may be an alternative to increase tomato yield and yield quality."
Expression profile analysis of cotton fiber secondary cell wall thickening stage,"The mature cotton fiber has a unique cell wall structure that is distinct from xylem of monocot and dicot plants due to the massive deposition of cellulose during the fiber SCW thickening stage. Cotton fiber cell walls not only determine fiber morphogenesis, but also determine fiber quality such as length and strength. It is therefore of interest to understand SCW biosynthesis and regulation for genetic improvement of cotton fibers. Liu et al selected three cotton cultivars: Sea Island cotton (Xinhai 32) and upland cotton (17-24 and 62-33) which have fibers with different qualities and performed RNA-seq analysis in order to identify candidate genes involved in fiber SCW thickening.
The major concern is why this three cultivars were selected and can be used to identify candidate genes involved in SCW biosynthesis, more specifically genes determining fiber strength. In addition, readers cannot get useful information from most of the main figures. Moreover, no experimental evidence shows that any of genes was indeed involved in SCW biosynthesis.",Generic,"To determine the genes associated with the fiber strength trait in cotton, three different cotton cultivars were selected: Sea Island cotton (Xinhai 32, with hyper-long fibers labeled as HL), and upland cotton (17-24, with long fibers labeled as L, and 62-33, with short fibers labeled as S). These cultivars were chosen to assess fiber samples with varying qualities. RNA-seq technology was used to analyze the expression profiles of cotton fibers at the secondary cell wall (SCW) thickening stage (20, 25, and 30 days post-anthesis (DPA)). The results showed that a large number of differentially expressed genes (DEGs) were obtained from the three assessed cotton cultivars at different stages of SCW development. For instance, at 20 DPA, Sea Island cotton (HL) had 6,215 and 5,364 DEGs compared to upland cotton 17-24 (L) and 62-33 (S), respectively. Meanwhile, there were 1,236 DEGs between two upland cotton cultivars, 17-24 (L) and 62-33 (S). Gene Ontology (GO) term enrichment identified 42 functions, including 20 biological processes, 11 cellular components, and 11 molecular functions. Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis identified several pathways involved in SCW synthesis and thickening, such as glycolysis/gluconeogenesis, galactose metabolism, propanoate metabolism, biosynthesis of unsaturated fatty acids pathway, valine, leucine and isoleucine degradation, fatty acid elongation pathways, and plant hormone signal transduction. Through the identification of shared DEGs, 46 DEGs were found to exhibit considerable expressional differences at different fiber stages from the three cotton cultivars. These shared DEGs have functions including REDOX enzymes, binding proteins, hydrolases (such as GDSL thioesterase), transferases, metalloproteins (cytochromatin-like genes), kinases, carbohydrates, and transcription factors (MYB and WRKY). Therefore, RT-qPCR was performed to verify the expression levels of nine of the 46 identified DEGs, an approach which demonstrated the reliability of RNA-seq data. Our results provided valuable molecular resources for clarifying the cell biology of SCW biosynthesis during fiber development in cotton."
"Exploring main soil drivers of vegetation succession in abandoned croplands of Minqin Oasis, China","Firstly, I acknowledge the authors for their impressive job improving the original manuscript. However, there is still some confusion about the hypothesis, the aims of the study and the final results that support (or not) the hypothesis. Evidence of this appears just at the beginning of the manuscript, i.e., the mismatch between the title, the abstract, and the last paragraph of the introduction. Please, amend it because this is critical to not lose the readers and most importantly, to be consistent with the scientific method.

In general, the references included have also been improved, though I have some suggestions for the authors regarding the previous research in the area:

L100 Could the authors include the references? “However, few studies have explored these connections.”

Please, read Section 1 about the research question. Being aware of limitations in resources and in representative areas with enough age range etc., it’s true that the study lacks power not including other areas different from the Hu area. I totally understand why the authors restricted their study to the Hu area but they should include the explanation of this limitation in the manuscript, and highlight potential research needs in their discussion.

There is no need to include that you recorded the scientific names of the species, L146: where each shrub or herbaceous species was recorded using binomial nomenclature",Generic,"Background
The Minqin Oasis, which is located in Wuwei City, Gansu Province, China, faces a very serious land desertification problem, with about 94.5% of its total area desertified. Accordingly, it is crucial to implement ecological restoration policies such as cropland abandonment in this region. In abandoned croplands, abiotic factors such as soil properties may become more important than biotic factors in driving vegetation succession. However, the connections between soil properties and vegetation succession remain unclear. To fill this knowledge gap, this study investigated these connections to explore major factors that affected vegetation succession, which is meaningful to designing management measures to restore these degraded ecosystems.

Methods
This study investigated seven 1–29-year-old abandoned croplands using the “space for time” method in Minqin Oasis. Vegetation succession was classified into different stages using a canonical correlation analysis (CCA) and two-way indicator species analysis (Twinspan). The link between soil properties and vegetation succession was analyzed using CCA. The primary factors shaping community patterns of vegetation succession were chosen by the “Forward selection” in CCA. The responses of dominant species to soil properties were analyzed using generalized additive models (GAMs).

Results
Dominant species turnover occurred obviously after cropland abandonment. Vegetation succession can be classified into three stages (i.e., early, intermediate, and late successional stages) with markedly different community composition and diversity. The main drivers of vegetation succession among soil properties were soil salinity and saturated soil water content and they had led to different responses of the dominant species in early and late successional stages. During the development of vegetation succession, community composition became simpler, and species diversity decreased significantly, which was a type of regressive succession. Therefore, measures should be adopted to manage these degraded, abandoned croplands."
Elucidating the regulatory role of long non-coding RNAs in drought stress response during seed germination in leaf mustard,"The quality of English needs to be improved and authors are advised to check their manuscript with a fluent English speaker. e.g. Ensure consistency of terminology throughout the introduction. For example, ""drought-tolerant"" and ""drought-sensitive"" are hyphenated in some cases and not in others. Consistent hyphenation and terminology improves readability.

Methods not sufficiently described I could not find any information on the RNA extraction method or the sequencing profile or criteria for the identification of LncRNA..

This study provides excellent information about this neglected plant. The results and findings are presented in a nice way. Although the discussion is really disorganised and does not agree with the author's findings,the discussion should mainly focus on the research findings and consolidate their findings with other similar research rather than re-explaining the findings.
the authors must draw conclusions, which should be based on the objectives, method and material, results, discussion and future perspectives.",Generic,"Leaf mustard (Brassica juncea L. Czern & Coss), an important vegetable crop, experiences pronounced adversity due to seasonal drought stress, particularly at the seed germination stage. Although there is partial comprehension of drought-responsive genes, the role of long non-coding RNAs (lncRNAs) in adjusting mustard's drought stress response is largely unexplored. In this study, we showed that the drought-tolerant cultivar 'Weiliang' manifested a markedly lower base water potential (-1.073 MPa vs -0.437 MPa) and higher germination percentage (41.2% vs 0%) than the drought-susceptible cultivar 'Shuidong' under drought conditions. High throughput RNA sequencing techniques revealed a significant repertoire of lncRNAs from both cultivars during germination under drought stress, resulting in the identification of 2,087 differentially expressed lncRNAs (DELs) and their correspondingly linked 12,433 target genes. It was noted that 84 genes targeted by DEL exhibited enrichment in the photosynthesis pathway. Gene network construction showed that MSTRG.150397, a regulatory lncRNA, was inferred to potentially modulate key photosynthetic genes (Psb27, PetC, PetH, and PsbW), whilst MSTRG.107159 was indicated as an inhibitory regulator of six drought-responsive PIP genes. Further, weighted gene co-expression network analysis (WGCNA) corroborated the involvement of light intensity and stress response genes targeted by the identified DELs. The precision and regulatory impact of lncRNA were verified through qPCR. This study extends our knowledge of the regulatory mechanisms governing drought stress responses in mustard, which will help strategies to augment drought tolerance in this crop."
A taxonomic revision of Rhizophora L. (Rhizophoraceae) in Thailand,"The study was sufficiently thorough, and the author's keen efforts in this work are apparent. However, the research question was not well defined, relevant or meaningful. The knowledge gap that the research is addressing is not identified. Rhizophora apiculata and R. mucronata are two of the most easily identified mangrove species, thus the necessity of a taxonomic revision was not fully demonstrated in the manuscript. The author should explain why a detailed taxonomic revision of Thai Rhizophora is needed. Are the Rhizophora species in Thailand botanically unique in any way?

Also, how does this relate to Rhizophora species found in neighbouring countries? while comparing the various botanical feature of Thai specimens to those in previous studies, it is important to note where the previous studies were conducted, in order to understand the geographical relevance of these differences.

The rationale and benefit to the literature has not been demonstrated clearly.

Minor comment: It would be better to cite Tomlinson 2016 (second edition) instead of Tomlinson 1986 (first edition).",Generic,"A taxonomic revision of Rhizophora L. (Rhizophoraceae) in Thailand is presented. Two species, R. apiculata Blume and R. mucronata Poir., are enumerated with updated morphological descriptions, illustrations and a taxonomic identification key, together with notes on distributions, habitats and ecology, phenology, conservation assessments, etymology, vernacular names, uses, and specimens examined. Three names in Rhizophora, are lectotypified: R. apiculata and two associated synonyms of R. mucronata (i.e., R. latifolia Miq. and R. macrorrhiza Griff.). R. longissima Blanco, a synonym of R. mucronata, is neotypified. All two Rhizophora species have a conservation assessment of Least Concern (LC). Based on the morphological identification, these two species can be distinguished from one another by the shape and width of the leaf laminae and the length of a terminal stiff point of the leaf laminae; the type and position of the inflorescences and the number of flowers per inflorescence; the character and color of the bracteoles; the presence or absence of the flower pedicels; the shape of the mature flower buds; the shape, color, and texture of the sepals; the shape, character, and the presence or absence of hairs of the petals; the number of stamens per flower; the size of the fruits; the color and size of the hypocotyls; the color and diameter of the cotyledonous cylindrical tubes; and the color of the colleters and exudate. The thick cuticles, sunken stomata, large hypodermal cells, and cork warts are adaptive anatomical features of leaves in Rhizophora that live in the mangrove environments. The pollen grains of Thai Rhizophora species are tricolporate, prolate spheroidal or oblate spheroidal shapes, small-sized, and reticulate exine sculpturing."
HFSA: hybrid feature selection approach to improve medical diagnostic system,"Basic reporting
This paper introduces an advanced Diagnostic System (DS) leveraging Artificial Intelligence (AI) techniques for precise and efficient medical diagnostics. The proposed system incorporates a novel Hybrid Feature Selection Approach (HFSA) that combines filter-based and wrapper-based methodologies to optimize feature selection and enhance the performance of the Naive Bayes (NB) classifier. Through its multi-layered structure—Rejection Layer (RL), Selection Layer (SL), and Diagnostic Layer (DL)—the system demonstrates significant improvements in diagnostic accuracy, precision, and recall. The revision should focus on enhancing the scientific rigor of the methodology, clarifying certain ambiguous details, and strengthening the experimental validation.

a. The novelty and computational feasibility of combining Genetic Algorithm (GA) with the Tiki-Taka Algorithm (T²A) in the Accurate Stage (AS) of HFSA should be elaborated. Include an analysis of why this hybrid optimization is superior to existing methods for feature selection in medical diagnostics.

b. Clarify the choice of chi-square as the filter methodology in the Fast Stage (FS). Provide a justification of its suitability compared to other statistical methods, particularly in handling high-dimensional medical datasets.

c. Expand the explanation of the Rejection Layer (RL) to include details about how GA identifies and removes outliers. Specify whether the definition of outliers is domain-specific or generalized across datasets.

d. Incorporate a thorough evaluation of HFSA against state-of-the-art feature selection approaches. Compare their computational complexity, runtime efficiency, and diagnostic performance to substantiate the claim that HFSA outperforms existing methods.

e. The experimental setup requires more details, including dataset characteristics, parameter configurations, and cross-validation techniques used. This ensures reproducibility and provides transparency for performance metrics such as accuracy, precision, recall, and error rates.

f. The integration of the NB classifier within the Diagnostic Layer (DL) should be critically assessed. Discuss the trade-offs in using NB versus more advanced classifiers like Support Vector Machines (SVM) or ensemble methods in the context of medical diagnostics.

g. Add a detailed discussion of potential limitations of the proposed system. For example, how sensitive is HFSA to changes in data distribution, class imbalance, or noisy features in real-world medical datasets?

h. The paper should include a future research direction section that addresses the scalability of the proposed system, particularly when dealing with rapidly growing datasets or integrating multi-modal medical data (e.g., text, images, and numerical records).

The Literature citation is not adequate, and the related work to machine learning should be discussed:
1. Robust semi-supervised multi-label feature selection based on shared subspace and manifold learning
2. Sparse feature selection using hypergraph Laplacian-based semi-supervised discriminant analysis
3. Nonnegative Matrix Factorization in Dimensionality Reduction: A Survey

Experimental design
not

Validity of the findings
not",Authentic,"Thanks to the presence of artificial intelligence methods, the diagnosis of patients can be done quickly and accurately. This article introduces a new diagnostic system (DS) that includes three main layers called the rejection layer (RL), selection layer (SL), and diagnostic layer (DL) to accurately diagnose cases suffering from various diseases. In RL, outliers can be removed using the genetic algorithm (GA). At the same time, the best features can be selected by using a new feature selection method called the hybrid feature selection approach (HFSA) in SL. In the next step, the filtered data is passed to the naive Bayes (NB) classifier in DL to give accurate diagnoses. In this work, the main contribution is represented in introducing HFSA as a new selection approach that is composed of two main stages; fast stage (FS) and accurate stage (AS). In FS, chi-square, as a filtering methodology, is applied to quickly select the best features while Hybrid Optimization Algorithm (HOA), as a wrapper methodology, is applied in AS to accurately select features. It is concluded that HFSA is better than other selection methods based on experimental results because HFSA can enable three different classifiers called NB, K-nearest neighbors (KNN), and artificial neural network (ANN) to provide the maximum accuracy, precision, and recall values and the minimum error value. Additionally, experimental results proved that DS, including GA as an outlier rejection method, HFSA as feature selection, and NB as diagnostic mode, outperformed other diagnosis models."
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"Basic reporting
The paper is well-written and easy to follow. However, it would benefit from more emphasis on the rationale behind the development of the proposed method. While the paper thoroughly explains ""what"" was done, the reasoning behind the specific design choices remains unclear. Further clarification on this would strengthen the work. See below for additional details.

Experimental design
To summarize the contribution, the paper adapts the method from Kim et al. (2010), originally designed for simulating small bubbles in water, and applies it to simulate fire flakes using a relatively simple fire model from Nguyen et al. (2002). This contribution seems somewhat minimal, especially considering the length of the paper.

The authors make several claims about why the motion of fire flakes is fundamentally different from that of bubbles:
50: ""On the other hand, fire-flake particles, being lighter than air and significantly influenced by air resistance, exhibit relatively more chaotic and disorderly movement.""
135: ""Most existing methods have focused on representing bubbles in water, and there has been relatively less research specifically dedicated to modeling fire-flake particles represented by flames.""
253: ""unlike air bubbles in water, near the flame, there are turbulent interactions between fuel and air that give rise to chaotic movements.""
447: ""Unlike air bubbles, fire-flake particles exhibit highly dynamic movements in chaotic regions.""
However, these assertions are not supported by evidence (citations would be helpful), and yet, they still proceed to apply an existing bubble simulation technique to model fire flakes, which appears contradictory.

Additionally, the paper proposes training a neural network to learn the emission, trajectories, and lifespan of fire flakes. However, the training uses synthetic data generated by the paper's own simulation method, which raises the question of why an already established model is being ""re-learned.""

Validity of the findings
The main result of the paper shows that the proposed method generates more break-up in the motion of fire flake particles compared to previous methods that did not incorporate chaotic advection. While this outcome is expected, it is also unsurprising and aligns with the findings of Kim et al. (2010), who achieved something similar with bubbles.

The machine learning (ML) aspect of the paper is intriguing, but as noted earlier, its purpose remains unclear. The approach essentially re-learns an already established model (which, not surprisingly, yields similar results), and the paper does not demonstrate any performance benefits of using an ML technique over traditional simulation methods.

Additional comments
All of the simulations in the paper are conducted in 2D, and there is no supplemental video provided, making it difficult to evaluate the quality of the results.

Overall, I would consider the paper's contribution to be quite limited. It seems premature for publication and would require significant revisions.",Authentic,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments."
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"Basic reporting
The overall workflow of the work is appreciable.

Experimental design
Experimental design and the results provided is goo and sufficient.

Validity of the findings
The article meets the standard of the journal due to the experimental results given is good.",Generic,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments."
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"Basic reporting
This paper proposes an efficient technique to simulate dispersed fire-flake particles that respond to the movement of a flame. The paper is well-organized, and the findings are clearly represented. I would recommend the paper for publication after minor revision.
1. Check the comma and the punctuation in the text and at the ends of equations (Equations 3, 6 and the rest).
2. Check the equation number on line 215.
3. Tell us more about the numerical method used. What are the limitations of the method? Are there other robust methods? What motivates the choice of the current method to present the results.
4. The abstract should contain some obtained results through an ending sentence.
5. On Line 222, replace ‘In this paper’ by ‘In addition’ or any equivalent expression as it is written in the previous sentence.
6. Discuss the implications of your findings for real-world applications.

Experimental design
Yes

Validity of the findings
Yes

Additional comments
NO",Authentic,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments."
